,speaker_label,speaker_num,start_time,end_time,speaker_change_index,segment_start_time,segment_end_time
95,Wallace,0,44.85,45.54,0.0,6.24,95.47
96,Wallace,0,45.55,45.73,0.0,6.24,95.47
97,Wallace,0,45.73,46.18,0.0,6.24,95.47
98,Wallace,0,46.18,46.28,0.0,6.24,95.47
99,Wallace,0,46.28,46.96,0.0,6.24,95.47
100,Wallace,0,47.34,47.54,0.0,6.24,95.47
101,Wallace,0,47.54,47.63,0.0,6.24,95.47
102,Wallace,0,47.63,48.25,0.0,6.24,95.47
103,Wallace,0,48.25,48.47,0.0,6.24,95.47
104,Wallace,0,48.48,48.83,0.0,6.24,95.47
105,Wallace,0,48.83,49.49,0.0,6.24,95.47
106,Wallace,0,49.74,49.87,0.0,6.24,95.47
107,Wallace,0,49.87,50.04,0.0,6.24,95.47
108,Wallace,0,50.04,50.35,0.0,6.24,95.47
109,Wallace,0,50.35,50.53,0.0,6.24,95.47
110,Wallace,0,50.54,50.81,0.0,6.24,95.47
111,Wallace,0,50.81,50.88,0.0,6.24,95.47
112,Wallace,0,50.88,50.97,0.0,6.24,95.47
113,Wallace,0,50.97,51.61,0.0,6.24,95.47
114,Wallace,0,51.61,51.77,0.0,6.24,95.47
115,Wallace,0,51.77,51.97,0.0,6.24,95.47
116,Wallace,0,51.97,52.48,0.0,6.24,95.47
117,Wallace,0,52.48,52.62,0.0,6.24,95.47
118,Wallace,0,52.62,52.72,0.0,6.24,95.47
119,Wallace,0,52.72,53.46,0.0,6.24,95.47
120,Wallace,0,53.94,54.2,0.0,6.24,95.47
121,Wallace,0,54.2,54.34,0.0,6.24,95.47
122,Wallace,0,54.34,54.57,0.0,6.24,95.47
123,Wallace,0,54.57,55.35,0.0,6.24,95.47
124,Wallace,0,56.04,56.2,0.0,6.24,95.47
125,Wallace,0,56.2,56.53,0.0,6.24,95.47
126,Wallace,0,56.53,56.65,0.0,6.24,95.47
127,Wallace,0,56.65,56.87,0.0,6.24,95.47
128,Wallace,0,56.87,57.45,0.0,6.24,95.47
129,Wallace,0,57.45,57.71,0.0,6.24,95.47
130,Wallace,0,57.71,58.07,0.0,6.24,95.47
131,Wallace,0,58.07,58.23,0.0,6.24,95.47
132,Wallace,0,58.23,58.63,0.0,6.24,95.47
133,Wallace,0,58.63,59.4,0.0,6.24,95.47
134,Wallace,0,59.4,59.88,0.0,6.24,95.47
135,Wallace,0,59.88,60.02,0.0,6.24,95.47
136,Wallace,0,60.02,60.13,0.0,6.24,95.47
137,Wallace,0,60.13,60.71,0.0,6.24,95.47
138,Wallace,0,60.71,61.26,0.0,6.24,95.47
139,Wallace,0,61.64,61.82,0.0,6.24,95.47
140,Wallace,0,61.82,61.94,0.0,6.24,95.47
141,Wallace,0,61.94,62.31,0.0,6.24,95.47
142,Wallace,0,62.31,62.46,0.0,6.24,95.47
143,Wallace,0,62.46,62.62,0.0,6.24,95.47
144,Wallace,0,62.62,62.96,0.0,6.24,95.47
145,Wallace,0,62.96,63.52,0.0,6.24,95.47
146,Wallace,0,63.52,64.16,0.0,6.24,95.47
147,Wallace,0,64.16,64.39,0.0,6.24,95.47
148,Wallace,0,64.39,64.51,0.0,6.24,95.47
149,Wallace,0,64.51,65.04,0.0,6.24,95.47
150,Wallace,0,65.04,65.27,0.0,6.24,95.47
151,Wallace,0,65.27,65.56,0.0,6.24,95.47
152,Wallace,0,65.56,65.89,0.0,6.24,95.47
153,Wallace,0,65.89,66.56,0.0,6.24,95.47
154,Wallace,0,67.14,67.4,0.0,6.24,95.47
155,Wallace,0,67.4,67.48,0.0,6.24,95.47
156,Wallace,0,67.48,68.07,0.0,6.24,95.47
157,Wallace,0,68.07,68.33,0.0,6.24,95.47
158,Wallace,0,68.33,68.93,0.0,6.24,95.47
159,Wallace,0,68.93,69.04,0.0,6.24,95.47
160,Wallace,0,69.04,69.61,0.0,6.24,95.47
161,Wallace,0,69.61,69.75,0.0,6.24,95.47
162,Wallace,0,69.75,70.47,0.0,6.24,95.47
163,Wallace,0,70.84,71.04,0.0,6.24,95.47
