,speaker_label,speaker_num,start_time,end_time,start_date_time,end_date_time
74,Trump,2,827.52,828.66,1970-01-01 00:13:48,1970-01-01 00:13:49
75,Trump,2,829.24,839.89,1970-01-01 00:13:50,1970-01-01 00:14:00
76,Biden,1,839.9,863.4,1970-01-01 00:14:00,1970-01-01 00:14:24
77,Trump,2,863.4,880.57,1970-01-01 00:14:24,1970-01-01 00:14:41
78,Wallace,0,880.58,884.59,1970-01-01 00:14:41,1970-01-01 00:14:45
79,Trump,2,884.74,895.35,1970-01-01 00:14:45,1970-01-01 00:14:56
80,Trump,2,896.34,904.86,1970-01-01 00:14:57,1970-01-01 00:15:05
81,Trump,2,905.74,927.57,1970-01-01 00:15:06,1970-01-01 00:15:28
82,Wallace,0,927.57,933.53,1970-01-01 00:15:28,1970-01-01 00:15:34
83,Biden,1,934.34,959.71,1970-01-01 00:15:35,1970-01-01 00:16:00
84,Wallace,0,959.72,963.46,1970-01-01 00:16:00,1970-01-01 00:16:04
85,Wallace,0,964.34,1001.18,1970-01-01 00:16:05,1970-01-01 00:16:42
86,Biden,1,1001.18,1019.76,1970-01-01 00:16:42,1970-01-01 00:17:00
87,Trump,2,1019.76,1029.74,1970-01-01 00:17:00,1970-01-01 00:17:10
88,Wallace,0,1029.75,1036.78,1970-01-01 00:17:10,1970-01-01 00:17:17
89,Biden,1,1036.79,1038.87,1970-01-01 00:17:17,1970-01-01 00:17:19
90,Biden,1,1040.64,1041.51,1970-01-01 00:17:21,1970-01-01 00:17:22
91,Trump,2,1041.51,1045.87,1970-01-01 00:17:22,1970-01-01 00:17:26
92,Wallace,0,1045.88,1051.56,1970-01-01 00:17:26,1970-01-01 00:17:32
93,Wallace,0,1052.84,1089.56,1970-01-01 00:17:33,1970-01-01 00:18:10
94,Wallace,0,1090.24,1094.56,1970-01-01 00:18:11,1970-01-01 00:18:15
95,Wallace,0,1095.14,1098.71,1970-01-01 00:18:16,1970-01-01 00:18:19
96,Biden,1,1099.54,1100.05,1970-01-01 00:18:20,1970-01-01 00:18:21
97,Biden,1,1101.24,1105.77,1970-01-01 00:18:22,1970-01-01 00:18:26
98,Biden,1,1106.44,1112.6,1970-01-01 00:18:27,1970-01-01 00:18:33
99,Biden,1,1113.14,1215.95,1970-01-01 00:18:34,1970-01-01 00:20:16
100,Trump,2,1216.04,1218.95,1970-01-01 00:20:17,1970-01-01 00:20:19
101,Trump,2,1219.74,1320.26,1970-01-01 00:20:20,1970-01-01 00:22:01
102,Biden,1,1320.94,1324.03,1970-01-01 00:22:01,1970-01-01 00:22:05
103,Trump,2,1324.04,1331.26,1970-01-01 00:22:05,1970-01-01 00:22:12
104,Biden,1,1331.26,1334.05,1970-01-01 00:22:12,1970-01-01 00:22:15
105,Trump,2,1334.06,1338.11,1970-01-01 00:22:15,1970-01-01 00:22:19
106,Wallace,0,1338.11,1339.57,1970-01-01 00:22:19,1970-01-01 00:22:20
107,Biden,1,1339.57,1342.46,1970-01-01 00:22:20,1970-01-01 00:22:23
108,Biden,1,1343.04,1363.06,1970-01-01 00:22:24,1970-01-01 00:22:44
109,Trump,2,1363.06,1370.59,1970-01-01 00:22:44,1970-01-01 00:22:51
110,Biden,1,1370.59,1395.9,1970-01-01 00:22:51,1970-01-01 00:23:16
111,Wallace,0,1395.91,1435.35,1970-01-01 00:23:16,1970-01-01 00:23:56
112,Trump,2,1435.35,1455.07,1970-01-01 00:23:56,1970-01-01 00:24:16
113,Trump,2,1455.64,1458.59,1970-01-01 00:24:16,1970-01-01 00:24:19
114,Wallace,0,1458.59,1462.06,1970-01-01 00:24:19,1970-01-01 00:24:23
115,Trump,2,1462.06,1469.53,1970-01-01 00:24:23,1970-01-01 00:24:30
116,Wallace,0,1469.54,1472.72,1970-01-01 00:24:30,1970-01-01 00:24:33
117,Trump,2,1472.73,1494.16,1970-01-01 00:24:33,1970-01-01 00:24:55
118,Biden,1,1494.54,1504.34,1970-01-01 00:24:55,1970-01-01 00:25:05
119,Trump,2,1504.34,1508.17,1970-01-01 00:25:05,1970-01-01 00:25:09
120,Biden,1,1508.17,1529.43,1970-01-01 00:25:09,1970-01-01 00:25:30
121,Wallace,0,1529.43,1558.47,1970-01-01 00:25:30,1970-01-01 00:25:59
122,Biden,1,1558.48,1565.62,1970-01-01 00:25:59,1970-01-01 00:26:06
123,Wallace,0,1565.63,1569.2,1970-01-01 00:26:06,1970-01-01 00:26:10
124,Biden,1,1569.2,1572.6,1970-01-01 00:26:10,1970-01-01 00:26:13
125,Wallace,0,1572.61,1576.4,1970-01-01 00:26:13,1970-01-01 00:26:17
126,Biden,1,1576.4,1591.12,1970-01-01 00:26:17,1970-01-01 00:26:32
127,Trump,2,1591.12,1595.28,1970-01-01 00:26:32,1970-01-01 00:26:36
128,Biden,1,1595.24,1597.67,1970-01-01 00:26:36,1970-01-01 00:26:38
129,Biden,1,1598.44,1626.85,1970-01-01 00:26:39,1970-01-01 00:27:07
130,Trump,2,1626.85,1628.26,1970-01-01 00:27:07,1970-01-01 00:27:09
131,Trump,2,1628.84,1630.28,1970-01-01 00:27:09,1970-01-01 00:27:11
132,Trump,2,1631.04,1653.77,1970-01-01 00:27:12,1970-01-01 00:27:34
133,Trump,2,1654.34,1662.54,1970-01-01 00:27:35,1970-01-01 00:27:43
134,Wallace,0,1662.54,1691.87,1970-01-01 00:27:43,1970-01-01 00:28:12
135,Biden,1,1691.94,1706.96,1970-01-01 00:28:12,1970-01-01 00:28:27
136,Biden,1,1707.94,1722.95,1970-01-01 00:28:28,1970-01-01 00:28:43
137,Trump,2,1722.95,1725.89,1970-01-01 00:28:43,1970-01-01 00:28:46
138,Wallace,0,1725.9,1728.63,1970-01-01 00:28:46,1970-01-01 00:28:49
139,Trump,2,1728.64,1739.37,1970-01-01 00:28:49,1970-01-01 00:29:00
140,Trump,2,1740.34,1784.19,1970-01-01 00:29:01,1970-01-01 00:29:45
141,Wallace,0,1784.19,1798.83,1970-01-01 00:29:45,1970-01-01 00:29:59
142,Trump,2,1798.83,1825.72,1970-01-01 00:29:59,1970-01-01 00:30:26
143,Wallace,0,1825.73,1827.63,1970-01-01 00:30:26,1970-01-01 00:30:28
